customer_id,signup_date,country,plan,segment,first_source,monthly_price
CUST_000001,2024-05-17,US,pro,Mid,paid_search,109.31
CUST_000002,2021-01-01,US,basic,SMB,organic,28.95
CUST_000003,2023-04-01,US,basic,Enterprise,organic,26.35
CUST_000004,2023-10-14,Canada,pro,SMB,organic,106.03
CUST_000005,2024-10-10,UK,basic,SMB,organic,28.29
CUST_000006,2024-10-10,Australia,pro,Mid,organic,101.81
CUST_000007,2024-12-02,US,enterprise,Mid,paid_search,440.21
CUST_000008,2022-04-28,Canada,basic,SMB,referral,30.14
CUST_000009,2023-10-11,France,pro,Mid,referral,95.24
CUST_000010,2023-05-12,France,basic,SMB,paid_search,27.56
CUST_000011,2024-12-21,Australia,basic,SMB,partner,33.18
CUST_000012,2021-01-01,Germany,basic,Mid,referral,28.41
CUST_000013,2022-08-15,India,basic,Enterprise,content,30.55
CUST_000014,2024-09-06,US,basic,Mid,partner,30.11
CUST_000015,2024-09-25,UK,basic,SMB,organic,25.56
CUST_000016,2024-09-24,US,enterprise,Mid,paid_search,536.11
CUST_000017,2024-07-08,US,pro,SMB,paid_search,93.75
CUST_000018,2024-01-04,US,enterprise,SMB,paid_search,543.75
CUST_000019,2024-03-31,US,pro,Mid,organic,102.2
CUST_000020,2024-07-17,US,basic,SMB,content,27.41
CUST_000021,2023-09-28,US,basic,Enterprise,organic,27.75
CUST_000022,2024-10-19,US,basic,SMB,partner,31.01
CUST_000023,2024-07-16,India,basic,SMB,content,29.44
CUST_000024,2024-05-23,US,pro,Mid,referral,104.0
CUST_000025,2024-03-10,Germany,pro,Mid,organic,88.85
CUST_000026,2022-12-14,US,basic,SMB,referral,31.5
CUST_000027,2024-09-14,India,basic,SMB,paid_search,27.44
CUST_000028,2024-01-15,Australia,basic,Mid,paid_search,30.04
CUST_000029,2023-10-22,Germany,basic,SMB,content,25.65
CUST_000030,2024-12-08,Germany,basic,SMB,paid_search,27.45
CUST_000031,2023-10-03,US,pro,Mid,referral,103.42
CUST_000032,2024-10-02,Singapore,basic,SMB,content,27.04
CUST_000033,2024-11-29,Australia,pro,Enterprise,organic,110.3
CUST_000034,2021-01-14,Australia,basic,Mid,referral,30.4
CUST_000035,2021-01-01,Germany,basic,Enterprise,referral,32.22
CUST_000036,2022-10-19,US,pro,SMB,paid_search,95.89
CUST_000037,2024-07-08,Australia,pro,Enterprise,content,85.16
CUST_000038,2024-11-11,US,basic,SMB,partner,29.66
CUST_000039,2023-06-19,Canada,enterprise,SMB,referral,474.93
CUST_000040,2024-03-24,US,basic,SMB,referral,28.55
CUST_000041,2024-10-29,India,basic,SMB,referral,30.58
CUST_000042,2024-02-03,US,pro,SMB,direct,104.96
CUST_000043,2024-12-14,US,pro,SMB,direct,84.97
CUST_000044,2021-10-20,Canada,basic,SMB,organic,31.34
CUST_000045,2024-08-08,France,basic,SMB,organic,28.94
CUST_000046,2023-07-22,Canada,enterprise,Mid,partner,507.49
CUST_000047,2024-07-03,US,basic,SMB,paid_search,27.24
CUST_000048,2024-01-09,US,basic,Mid,direct,28.31
CUST_000049,2023-12-12,France,pro,SMB,content,105.25
CUST_000050,2024-09-23,Singapore,enterprise,Enterprise,paid_search,540.42
