transaction_id,customer_id,amount,transaction_date,payment_method
TXN_00000001,CUST_000001,108.81,2024-05-20,bank_transfer
TXN_00000002,CUST_000001,106.67,2024-06-18,credit_card
TXN_00000003,CUST_000001,110.3,2024-07-20,credit_card
TXN_00000004,CUST_000001,114.53,2024-08-16,debit_card
TXN_00000005,CUST_000001,106.97,2024-09-14,bank_transfer
TXN_00000006,CUST_000001,106.64,2024-10-16,credit_card
TXN_00000007,CUST_000001,105.68,2024-11-14,paypal
TXN_00000008,CUST_000001,114.36,2024-12-17,stripe
TXN_00000009,CUST_000002,29.92,2021-01-03,credit_card
TXN_00000010,CUST_000002,27.75,2021-01-31,credit_card
TXN_00000011,CUST_000002,27.56,2021-03-02,credit_card
TXN_00000012,CUST_000002,28.76,2021-04-04,debit_card
TXN_00000013,CUST_000002,28.97,2021-05-01,credit_card
TXN_00000014,CUST_000002,29.98,2021-06-01,bank_transfer
TXN_00000015,CUST_000002,29.2,2021-07-02,debit_card
TXN_00000016,CUST_000002,29.96,2021-08-03,bank_transfer
TXN_00000017,CUST_000002,30.23,2021-09-01,debit_card
TXN_00000018,CUST_000002,28.46,2021-09-30,credit_card
TXN_00000019,CUST_000002,30.33,2021-10-30,credit_card
TXN_00000020,CUST_000002,29.85,2021-11-30,paypal
TXN_00000021,CUST_000002,29.62,2021-12-30,bank_transfer
TXN_00000022,CUST_000002,28.88,2022-01-28,debit_card
TXN_00000023,CUST_000002,28.41,2022-02-26,paypal
TXN_00000024,CUST_000002,28.37,2022-03-29,credit_card
TXN_00000025,CUST_000002,27.95,2022-04-29,credit_card
TXN_00000026,CUST_000002,29.68,2022-05-29,stripe
TXN_00000027,CUST_000002,28.23,2022-06-29,bank_transfer
TXN_00000028,CUST_000002,27.8,2022-07-26,credit_card
TXN_00000029,CUST_000002,28.93,2022-08-26,paypal
TXN_00000030,CUST_000002,29.92,2022-09-23,credit_card
TXN_00000031,CUST_000002,29.92,2022-10-23,debit_card
TXN_00000032,CUST_000002,28.02,2022-11-22,credit_card
TXN_00000033,CUST_000002,29.47,2022-12-22,debit_card
TXN_00000034,CUST_000002,28.84,2023-01-25,debit_card
TXN_00000035,CUST_000002,28.2,2023-02-20,stripe
TXN_00000036,CUST_000002,27.89,2023-03-24,credit_card
